,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,331",245,165,196,"1,646",936,343,330,"1,426",739,"1,093",969,"2,122"
Expenses +,"1,120",310,275,251,"1,300","1,085",438,397,"1,303",926,"1,064",960,"2,047"
Operating Profit,211,-66,-110,-55,346,-149,-95,-66,123,-187,29,9,75
OPM %,16%,-27%,-66%,-28%,21%,-16%,-28%,-20%,9%,-25%,3%,1%,4%
Other Income +,192,182,204,208,284,379,262,218,526,960,253,271,559
Interest,43,34,41,46,54,30,48,43,31,41,45,42,46
Depreciation,6,5,6,6,7,7,7,14,16,17,18,18,21
Profit before tax,354,76,48,101,570,193,111,95,601,716,219,220,567
Tax %,27%,43%,-39%,44%,20%,31%,35%,34%,20%,28%,-52%,28%,33%
Net Profit +,259,43,67,56,454,134,73,63,478,519,334,158,378
EPS in Rs,9.37,1.64,1.98,2.11,14.82,4.49,2.40,2.24,16.95,18.70,12.06,5.40,12.68
Raw PDF,,,,,,,,,,,,,
