,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,682,745,749,826,808,"1,048","1,059","1,357","1,405","1,515","1,262","1,056","1,141"
Expenses +,416,429,424,440,487,605,661,827,935,843,766,713,866
Operating Profit,266,316,324,386,320,443,398,530,470,672,496,343,275
OPM %,39%,42%,43%,47%,40%,42%,38%,39%,33%,44%,39%,32%,24%
Other Income +,2,0,11,5,4,1,2,1,5,1,2,2,3
Interest,20,24,26,21,18,26,36,56,56,75,84,80,83
Depreciation,6,7,8,9,9,11,13,17,23,26,27,29,30
Profit before tax,243,286,302,362,297,407,351,459,397,572,387,236,164
Tax %,25%,25%,24%,26%,26%,25%,26%,26%,26%,26%,27%,26%,30%
Net Profit +,182,214,228,267,221,304,260,340,293,423,281,175,114
EPS in Rs,21.85,25.63,27.35,32.00,26.34,36.29,31.01,40.47,32.49,46.96,31.19,19.33,12.64
Raw PDF,,,,,,,,,,,,,
