,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,318,393,543,393,371,369,618,403,368,494,654,445,442
Expenses +,253,341,445,342,293,325,476,341,288,422,495,370,332
Operating Profit,65,51,98,52,78,44,142,62,80,72,160,76,110
OPM %,20%,13%,18%,13%,21%,12%,23%,15%,22%,15%,24%,17%,25%
Other Income +,12,17,6,8,15,7,6,7,15,7,11,7,11
Interest,1,1,1,1,1,1,1,1,1,1,1,1,2
Depreciation,4,4,4,4,5,5,10,13,13,12,13,13,17
Profit before tax,72,64,98,54,87,45,137,56,81,66,157,68,102
Tax %,25%,23%,25%,15%,25%,26%,26%,19%,28%,26%,25%,19%,26%
Net Profit +,54,49,73,46,65,33,102,45,59,49,118,55,76
EPS in Rs,11.68,10.54,15.68,9.89,14.33,7.23,22.33,9.95,12.95,10.73,25.78,12.08,16.56
Raw PDF,,,,,,,,,,,,,
