,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,341,222,235,259,260,300,398,391,367,514,684,"1,113"
Expenses +,194,135,160,180,184,206,219,205,206,369,621,447
Operating Profit,146,88,75,80,76,94,178,185,161,145,63,665
OPM %,43%,39%,32%,31%,29%,31%,45%,47%,44%,28%,9%,60%
Other Income +,99,110,111,117,88,75,105,104,46,68,75,98
Interest,1,1,0,0,0,0,0,0,0,0,0,0
Depreciation,34,26,25,19,17,15,18,22,23,22,36,64
Profit before tax,210,170,162,178,147,154,265,267,184,191,102,699
Tax %,27%,26%,29%,29%,26%,5%,11%,16%,22%,22%,18%,20%
Net Profit +,153,126,115,127,108,146,236,225,143,149,83,560
EPS in Rs,30.03,24.66,22.48,24.82,21.25,28.68,46.37,44.16,28.13,29.21,16.30,109.82
Dividend Payout %,33%,41%,29%,60%,80%,70%,65%,62%,62%,65%,47%,27%
