,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,284","1,439","1,584","1,761","1,890","2,018","2,064","2,227","2,447","2,402","2,495","2,653","2,863"
Expenses +,749,"1,015","1,115","1,236","1,635","1,265","1,337","1,558","1,630","1,506","1,636","1,662","1,854"
Operating Profit,534,424,468,526,254,753,726,669,817,896,859,992,"1,009"
OPM %,42%,29%,30%,30%,13%,37%,35%,30%,33%,37%,34%,37%,35%
Other Income +,82,223,180,457,118,251,184,116,263,160,260,562,241
Interest,528,516,560,590,672,594,673,857,823,889,"1,031",829,955
Depreciation,260,218,254,266,301,296,373,393,405,466,474,479,491
Profit before tax,-171,-87,-166,127,-601,114,-135,-465,-148,-300,-386,246,-196
Tax %,-25%,30%,18%,17%,6%,85%,40%,5%,13%,13%,11%,18%,29%
Net Profit +,-129,-113,-195,105,-637,17,-190,-486,-168,-338,-429,202,-253
EPS in Rs,-0.23,-0.23,-0.32,0.32,-0.73,0.03,-0.15,-0.53,-0.20,-0.23,-0.27,0.25,-0.23
Raw PDF,,,,,,,,,,,,,
