,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,423,387,627,875,750,900,391,527,551,922,"2,471","8,923","7,562"
Expenses +,328,319,514,711,597,704,478,473,631,906,"2,202","7,665","6,670"
Operating Profit,95,68,113,164,153,196,-87,53,-80,16,269,"1,258",892
OPM %,22%,18%,18%,19%,20%,22%,-22%,10%,-15%,2%,11%,14%,12%
Other Income +,10,10,4,-22,28,37,34,25,43,79,65,45,42
Interest,46,47,49,32,13,17,8,4,3,15,51,252,270
Depreciation,56,49,38,56,61,66,77,52,77,122,182,353,385
Profit before tax,3,-18,29,54,106,150,-139,23,-117,-43,100,698,279
Tax %,0%,0%,0%,-73%,-0%,2%,71%,-67%,-46%,-15%,37%,36%,
Net Profit +,3,-18,29,93,107,147,-237,38,-63,-36,63,447,175
EPS in Rs,0.48,-3.07,4.59,13.15,11.73,16.05,-25.71,4.03,-5.47,-2.16,3.69,25.32,10.45
Dividend Payout %,0%,0%,0%,0%,0%,6%,0%,0%,0%,0%,0%,10%,
