,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Sales +,744,840,826,926,944,977,993,"1,046","1,050","1,040","1,006","1,095","1,047"
Expenses +,696,748,731,768,827,854,822,852,877,847,827,880,841
Operating Profit,48,92,95,158,116,123,171,194,173,192,179,214,205
OPM %,6%,11%,12%,17%,12%,13%,17%,19%,16%,18%,18%,20%,20%
Other Income +,8,8,8,9,11,35,12,10,15,17,17,30,22
Interest,1,1,0,2,1,0,1,6,1,1,1,1,3
Depreciation,15,13,14,13,14,15,15,14,14,13,13,13,14
Profit before tax,41,87,89,151,113,143,167,184,173,196,181,231,211
Tax %,26%,26%,25%,27%,26%,26%,25%,26%,25%,25%,25%,25%,26%
Net Profit +,30,64,67,111,84,106,125,136,129,146,135,173,157
EPS in Rs,26.72,57.01,59.24,98.46,74.80,94.30,110.79,120.48,114.70,129.70,120.05,153.44,139.50
Raw PDF,,,,,,,,,,,,,
