,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,0,"4,479","5,000","5,773","4,750","6,083","12,447","14,964","16,890","19,465"
Expenses +,0,"4,073","4,626","5,240","4,169","5,442","10,997","13,081","14,921","17,595"
Operating Profit,0,406,374,533,582,641,"1,450","1,883","1,969","1,870"
OPM %,,9%,7%,9%,12%,11%,12%,13%,12%,10%
Other Income +,0,41,55,62,40,70,147,319,787,359
Interest,0,77,62,56,34,47,99,58,73,83
Depreciation,0,149,154,162,185,251,347,396,454,492
Profit before tax,0,221,214,378,403,412,"1,152","1,748","2,230","1,653"
Tax %,,21%,27%,34%,22%,26%,14%,24%,22%,36%
Net Profit +,0,174,156,251,313,305,991,"1,325","1,733","1,054"
EPS in Rs,,,7.86,12.81,16.31,14.85,39.85,49.48,62.35,34.82
Dividend Payout %,,0%,17%,20%,21%,24%,9%,7%,6%,10%
