,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"2,006","2,282","2,157","2,371","2,301","2,386","2,422","2,538","2,462","2,573","2,653","2,982","2,866"
Expenses +,"1,598","1,844","1,721","1,890","1,849","1,911","1,934","2,035","2,006","2,107","2,158","2,507","2,404"
Operating Profit,408,437,436,480,453,476,488,503,456,466,495,476,462
OPM %,20%,19%,20%,20%,20%,20%,20%,20%,19%,18%,19%,16%,16%
Other Income +,41,38,74,50,48,41,62,56,62,65,34,49,68
Interest,11,11,12,11,12,13,13,13,13,12,16,16,16
Depreciation,59,59,59,57,57,68,72,75,73,78,73,82,81
Profit before tax,379,406,439,462,431,436,466,471,433,441,440,427,432
Tax %,27%,26%,32%,26%,28%,28%,28%,28%,27%,27%,27%,27%,27%
Net Profit +,276,301,298,341,312,316,337,341,314,320,320,310,316
EPS in Rs,26.09,28.41,28.11,32.20,29.44,29.84,31.79,32.24,29.63,30.20,30.45,29.38,29.79
Raw PDF,,,,,,,,,,,,,
