,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"4,066","4,189","4,023","4,021","4,104","4,512","4,463","1,575","3,056","5,810","6,769","8,335","8,825"
Expenses +,"3,504","3,762","3,411","3,411","3,432","3,682","3,496","1,937","2,651","4,005","4,609","5,565","5,930"
Operating Profit,562,427,612,610,671,830,968,-362,405,"1,805","2,160","2,769","2,896"
OPM %,14%,10%,15%,15%,16%,18%,22%,-23%,13%,31%,32%,33%,33%
Other Income +,-497,-193,-43,44,83,90,173,325,171,142,181,535,550
Interest,169,176,376,324,269,190,341,403,428,236,220,208,213
Depreciation,308,291,285,299,301,328,404,410,406,416,454,518,544
Profit before tax,-412,-232,-91,31,184,402,396,-850,-258,"1,295","1,666","2,578","2,689"
Tax %,27%,49%,99%,372%,66%,39%,11%,-18%,-14%,25%,28%,24%,
Net Profit +,-536,-347,-203,-46,104,296,364,-796,-265,"1,053","1,330","2,038","2,107"
EPS in Rs,-5.14,-3.51,-1.75,-0.48,0.76,2.17,2.68,-5.45,-1.74,7.06,8.85,13.40,13.74
Dividend Payout %,0%,0%,-13%,-55%,47%,21%,17%,-7%,-23%,14%,20%,17%,
