,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,079","2,182","2,097","2,246","2,445","3,070","2,970","2,881","3,567","4,909","4,854","4,287"
Expenses +,"1,573","1,593","1,484","1,607","1,906","2,406","2,285","2,220","2,841","3,663","3,513","3,138"
Operating Profit,506,589,613,639,540,664,685,661,726,"1,245","1,340","1,149"
OPM %,24%,27%,29%,28%,22%,22%,23%,23%,20%,25%,28%,27%
Other Income +,2,83,101,104,122,121,142,170,156,235,281,343
Interest,10,8,8,8,11,11,10,8,8,25,33,21
Depreciation,38,70,66,72,66,79,98,94,92,93,100,103
Profit before tax,460,594,641,662,585,694,719,730,781,"1,362","1,488","1,368"
Tax %,29%,27%,29%,31%,24%,26%,18%,22%,21%,22%,24%,23%
Net Profit +,326,431,457,457,444,511,590,566,620,"1,056","1,137","1,060"
EPS in Rs,34.45,45.69,48.44,48.43,47.00,54.16,62.59,60.02,65.70,111.95,120.39,112.46
Dividend Payout %,17%,18%,37%,17%,17%,17%,43%,15%,14%,14%,13%,14%
