,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"4,018","4,540","4,593","4,822","5,589","7,100","7,209","8,400","12,434","14,870","13,139","14,693"
Expenses +,"3,513","3,822","3,630","3,852","4,683","5,803","5,754","6,267","9,330","11,341","10,554","11,975"
Operating Profit,505,717,963,969,906,"1,297","1,455","2,133","3,103","3,529","2,584","2,718"
OPM %,13%,16%,21%,20%,16%,18%,20%,25%,25%,24%,20%,18%
Other Income +,24,65,28,73,115,78,152,66,116,75,83,133
Interest,96,138,130,102,124,198,201,134,116,205,302,376
Depreciation,225,245,275,283,316,358,389,453,517,575,673,772
Profit before tax,208,399,585,657,582,818,"1,018","1,612","2,586","2,824","1,692","1,704"
Tax %,22%,24%,27%,22%,21%,22%,-0%,26%,27%,23%,21%,27%
Net Profit +,162,303,430,515,462,642,"1,019","1,198","1,889","2,162","1,336","1,251"
EPS in Rs,5.66,10.55,14.97,17.94,16.08,22.33,35.46,40.44,63.72,72.95,45.06,42.20
Dividend Payout %,36%,19%,14%,14%,15%,11%,8%,12%,26%,10%,16%,17%
