,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,305","2,372","2,688","2,802","2,991","3,676","4,184","4,663","6,432","8,015","9,179","12,051"
Expenses +,"1,950","2,036","2,214","2,322","2,489","3,026","3,459","3,882","5,330","6,733","7,751","10,357"
Operating Profit,355,337,474,480,502,650,725,781,"1,102","1,282","1,428","1,694"
OPM %,15%,14%,18%,17%,17%,18%,17%,17%,17%,16%,16%,14%
Other Income +,30,-64,20,4,38,46,59,13,52,8,61,137
Interest,4,6,8,6,9,9,16,14,65,81,126,135
Depreciation,62,92,121,128,127,125,173,184,227,258,319,428
Profit before tax,318,176,365,351,404,562,595,596,862,951,"1,045","1,269"
Tax %,25%,31%,21%,22%,24%,25%,21%,22%,17%,22%,20%,26%
Net Profit +,238,122,287,272,309,422,468,466,715,745,836,936
EPS in Rs,7.60,3.74,8.83,8.15,9.12,13.06,14.21,15.04,21.73,22.72,26.14,24.29
Dividend Payout %,24%,51%,23%,31%,33%,0%,44%,17%,48%,56%,58%,63%
