,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,685,782,825,846,885,"1,018",953,"1,035","1,189","1,306","1,326","1,540"
Expenses +,622,703,722,710,724,826,775,830,966,"1,076","1,054","1,221"
Operating Profit,62,79,103,136,161,192,178,204,223,230,272,319
OPM %,9%,10%,13%,16%,18%,19%,19%,20%,19%,18%,21%,21%
Other Income +,4,4,6,8,18,21,32,35,25,28,43,38
Interest,13,10,9,7,10,14,12,10,11,12,17,20
Depreciation,14,12,13,14,15,17,19,21,21,22,26,28
Profit before tax,39,61,87,123,153,182,179,208,216,223,272,308
Tax %,32%,29%,29%,32%,31%,31%,21%,24%,24%,23%,23%,25%
Net Profit +,27,43,62,84,105,126,141,158,165,172,208,232
EPS in Rs,2.35,3.94,5.66,7.71,9.61,11.49,12.85,15.36,15.98,16.90,20.43,23.33
Dividend Payout %,22%,15%,12%,13%,9%,9%,26%,3%,9%,4%,3%,6%
