,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,445,517,563,611,639,829,859,692,"1,127","1,385","1,616","1,934"
Expenses +,430,497,526,551,571,735,744,615,988,"1,154","1,294","1,568"
Operating Profit,15,20,37,60,67,94,114,77,139,231,322,366
OPM %,3%,4%,7%,10%,11%,11%,13%,11%,12%,17%,20%,19%
Other Income +,27,21,28,39,39,36,9,72,43,40,89,85
Interest,0,0,0,1,1,1,1,1,1,1,2,1
Depreciation,7,7,6,6,6,7,9,9,8,10,11,13
Profit before tax,34,33,59,93,100,123,113,140,173,260,398,436
Tax %,23%,15%,26%,22%,27%,31%,21%,20%,23%,23%,23%,25%
Net Profit +,26,28,44,72,73,85,89,112,133,200,307,325
EPS in Rs,25.99,28.08,43.47,71.37,72.63,83.86,88.35,110.92,131.30,197.63,303.80,321.64
Dividend Payout %,38%,36%,29%,21%,21%,27%,28%,23%,27%,30%,30%,31%
