,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"23,464","24,686","26,700","26,606","26,296","26,672","28,446","28,499","28,057","28,862","29,890","30,246","30,349"
Expenses +,"18,489","19,261","20,335","20,743","20,931","20,743","21,659","22,382","22,264","22,493","23,030","23,764","24,314"
Operating Profit,"4,975","5,425","6,365","5,863","5,365","5,929","6,787","6,117","5,793","6,369","6,860","6,482","6,035"
OPM %,21%,22%,24%,22%,20%,22%,24%,21%,21%,22%,23%,21%,20%
Other Income +,409,236,260,453,344,365,370,416,"1,103",456,477,449,456
Interest,64,79,116,94,86,156,140,171,191,131,166,156,209
Depreciation,983,998,"1,137","1,027",927,"1,010","1,143","1,093",998,"1,007","1,039","1,040","1,093"
Profit before tax,"4,337","4,584","5,372","5,195","4,696","5,128","5,874","5,269","5,707","5,687","6,132","5,735","5,189"
Tax %,24%,24%,24%,23%,25%,25%,26%,24%,25%,26%,25%,25%,26%
Net Profit +,"3,281","3,487","4,096","3,981","3,531","3,833","4,351","3,995","4,259","4,237","4,594","4,309","3,844"
EPS in Rs,12.10,12.86,15.09,14.68,13.02,14.12,16.03,14.69,15.69,15.61,16.92,15.87,14.16
Raw PDF,,,,,,,,,,,,,
