,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,033","2,351","2,628","3,466","4,231","4,888","4,182","5,727","6,908","8,121","9,736"
Expenses +,"1,839","2,108","2,360","3,126","3,790","4,391","3,726","5,138","6,206","7,267","8,745"
Operating Profit,194,243,269,339,441,497,456,589,702,854,991
OPM %,10%,10%,10%,10%,10%,10%,11%,10%,10%,11%,10%
Other Income +,5,6,10,9,7,17,20,15,32,32,72
Interest,121,127,124,112,136,129,57,40,35,44,56
Depreciation,25,25,28,32,34,57,58,55,57,61,70
Profit before tax,53,96,126,204,278,328,361,508,642,781,937
Tax %,35%,35%,26%,29%,35%,22%,25%,26%,26%,26%,26%
Net Profit +,34,63,94,145,181,256,270,376,477,581,696
EPS in Rs,4.43,8.10,12.04,18.47,22.92,28.64,29.92,41.73,52.93,64.35,72.88
Dividend Payout %,9%,6%,5%,5%,5%,5%,7%,6%,6%,5%,5%
