,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"11,859","15,708","21,260","22,871","29,636","33,197","21,951","19,454","26,237","41,673","45,791","48,535"
Expenses +,"11,437","14,191","18,281","19,826","25,387","28,287","18,718","16,992","23,472","36,580","37,848","39,327"
Operating Profit,422,"1,517","2,979","3,045","4,248","4,910","3,233","2,462","2,765","5,093","7,943","9,208"
OPM %,4%,10%,14%,13%,14%,15%,15%,13%,11%,12%,17%,19%
Other Income +,613,-106,-321,406,190,139,57,207,-230,166,73,405
Interest,805,872,925,"1,049","1,227","1,502","1,802","1,901","1,869","2,094","2,982","3,930"
Depreciation,530,580,524,573,646,676,750,836,866,900,927,"1,087"
Profit before tax,-300,-42,"1,209","1,829","2,565","2,872",739,-67,-200,"2,265","4,106","4,596"
Tax %,-23%,415%,41%,11%,29%,24%,38%,4%,43%,40%,34%,26%
Net Profit +,-222,-205,712,"1,633","1,814","2,195",460,-70,-285,"1,359","2,696","3,383"
EPS in Rs,-0.31,0.24,1.20,2.79,3.01,3.54,0.57,-0.28,-0.61,2.11,4.23,5.29
Dividend Payout %,0%,96%,40%,28%,40%,44%,44%,-107%,-82%,62%,59%,59%
