,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"15,939","16,758","17,950","18,520","20,008","21,445","22,882","24,620","26,927","30,381","30,981"
Expenses +,"13,560","14,285","14,719","15,071","15,457","16,531","17,538","19,205","20,242","20,630","21,373"
Operating Profit,"2,379","2,474","3,231","3,449","4,551","4,914","5,344","5,415","6,686","9,752","9,608"
OPM %,15%,15%,18%,19%,23%,23%,23%,22%,25%,32%,31%
Other Income +,"1,650","1,608","1,058",776,376,423,364,985,"1,673","1,923","2,608"
Interest,15,6,16,35,178,360,267,65,64,43,9
Depreciation,822,863,681,947,"1,025",999,"1,158","1,111","1,785","1,407","1,340"
Profit before tax,"3,191","3,213","3,592","3,243","3,725","3,979","4,283","5,225","6,510","10,225","10,867"
Tax %,25%,38%,27%,39%,37%,28%,24%,3%,10%,25%,23%
Net Profit +,"2,399","2,004","2,625","1,990","2,328","2,883","3,246","5,080","5,828","7,621","8,364"
EPS in Rs,24.89,27.72,36.30,29.76,34.82,43.10,48.53,75.96,87.14,113.96,125.07
Dividend Payout %,20%,31%,30%,54%,28%,39%,31%,26%,32%,31%,20%
