,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,516,501,430,655,"1,017","1,242","1,348","1,410","2,216","2,801","3,161","3,869"
Expenses +,472,480,412,596,926,"1,180","1,239","1,288","1,998","2,594","2,873","3,545"
Operating Profit,44,20,18,59,92,62,109,121,217,207,287,324
OPM %,9%,4%,4%,9%,9%,5%,8%,9%,10%,7%,9%,8%
Other Income +,-3,4,3,1,2,5,-12,1,6,88,76,112
Interest,10,11,9,11,20,26,31,31,38,44,52,43
Depreciation,6,6,7,6,9,12,18,20,21,24,38,29
Profit before tax,25,7,6,44,64,30,47,71,165,228,274,363
Tax %,12%,-33%,8%,19%,26%,34%,22%,20%,10%,10%,12%,14%
Net Profit +,22,10,5,35,48,19,37,57,148,204,242,313
EPS in Rs,3.13,0.97,0.64,4.78,6.42,2.25,4.81,7.60,20.19,29.13,34.65,42.32
Dividend Payout %,26%,21%,31%,13%,11%,13%,15%,14%,15%,15%,15%,15%
