,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,736","2,093","2,438","2,583","3,018","3,563","3,927","3,312","4,396","5,158","5,654","8,142"
Expenses +,"1,486","1,836","2,173","2,339","2,576","2,961","3,045","2,532","3,290","4,022","4,496","6,574"
Operating Profit,250,256,265,245,442,603,883,780,"1,106","1,136","1,158","1,568"
OPM %,14%,12%,11%,9%,15%,17%,22%,24%,25%,22%,20%,19%
Other Income +,9,6,10,-1,21,44,38,64,26,40,212,56
Interest,0,0,0,0,0,0,165,163,176,201,288,523
Depreciation,79,101,128,155,160,157,352,375,393,486,598,807
Profit before tax,180,161,147,88,303,490,403,306,563,489,485,294
Tax %,34%,31%,34%,35%,35%,35%,31%,25%,26%,28%,18%,26%
Net Profit +,118,111,97,58,196,318,279,231,418,353,400,217
EPS in Rs,1.81,1.69,1.47,0.88,2.97,4.85,4.24,3.51,6.37,5.35,6.05,3.19
Dividend Payout %,0%,15%,17%,29%,17%,21%,28%,34%,19%,22%,20%,38%
