,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"26,519","31,571","35,949","35,576","28,279","37,092","44,958","41,952","38,516","42,177","42,652","43,571"
Expenses +,"18,237","20,771","24,281","25,348","22,224","32,976","30,042","25,006","22,547","25,424","25,580","25,445"
Operating Profit,"8,282","10,800","11,668","10,227","6,054","4,116","14,916","16,946","15,968","16,753","17,072","18,127"
OPM %,31%,34%,32%,29%,21%,11%,33%,40%,41%,40%,40%,42%
Other Income +,247,497,641,746,703,"1,789","-36,964","-19,563",363,354,917,"1,022"
Interest,966,"1,060","1,803","4,010","4,847","9,545","15,393","17,998","20,981","23,354","25,766","24,543"
Depreciation,"4,519","5,304","6,256","7,827","8,409","14,536","24,356","23,638","23,584","23,050","22,634","21,973"
Profit before tax,"3,044","4,933","4,250",-863,"-6,499","-18,175","-61,797","-44,253","-28,234","-29,298","-30,410","-27,368"
Tax %,35%,35%,36%,-54%,-36%,-20%,20%,-0%,0%,0%,3%,0%
Net Profit +,"1,968","3,193","2,728",-400,"-4,168","-14,604","-73,878","-44,233","-28,245","-29,301","-31,238","-27,383"
EPS in Rs,1.80,2.70,2.30,-0.34,-2.91,-5.08,-25.71,-15.39,-8.79,-6.02,-6.23,-3.84
Dividend Payout %,7%,7%,8%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
