,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,698,667,670,681,765,739,715,713,747,748,679,667,695
Expenses +,587,581,610,609,647,631,624,626,627,649,592,584,583
Operating Profit,111,86,59,72,118,108,92,87,120,99,88,83,112
OPM %,16%,13%,9%,11%,15%,15%,13%,12%,16%,13%,13%,12%,16%
Other Income +,6,4,6,4,4,7,11,6,5,5,7,7,8
Interest,4,7,4,4,4,4,5,5,5,5,5,5,5
Depreciation,29,30,31,32,33,35,37,38,38,39,40,40,39
Profit before tax,84,54,30,41,85,76,60,51,82,60,50,45,75
Tax %,25%,28%,26%,26%,26%,26%,27%,24%,25%,26%,26%,26%,25%
Net Profit +,63,39,22,30,63,56,44,39,61,44,37,33,56
EPS in Rs,2.53,1.55,0.90,1.21,2.54,2.26,1.78,1.55,2.47,1.78,1.48,1.33,2.26
Raw PDF,,,,,,,,,,,,,
